Script started at 07:48:21
08:06:31 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:34 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:06:37 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=NO | LAUNCHED
08:06:41 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:06:44 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:06:47 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:06:50 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:06:53 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:06:56 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:06:59 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:07:02 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:07:05 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:07:08 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:11 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:14 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:17 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:20 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:23 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:26 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:29 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:32 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:35 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:38 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=YES | NOT_CONNECTED
08:07:41 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:07:44 | Dev=CMF Buds 2a | Conn=NO | Exe=YES | Proc=NO | NOT_CONNECTED
08:07:47 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=NO | LAUNCHED
08:07:50 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:07:53 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:07:56 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:07:59 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:08:02 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:08:05 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:08:08 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
08:08:11 | Dev=CMF Buds 2a | Conn=YES | Exe=YES | Proc=YES | ALREADY_RUNNING
